id,timestamp,device,PCell_RSRP_max,PCell_RSRQ_max,PCell_RSSI_max,PCell_SNR_max,PCell_Downlink_Num_RBs,PCell_Downlink_Average_MCS,PCell_Downlink_bandwidth_MHz,PCell_Cell_Identity,PCell_freq_MHz,SCell_RSRP_max,SCell_RSRQ_max,SCell_RSSI_max,SCell_SNR_max,SCell_Downlink_Num_RBs,SCell_Downlink_Average_MCS,SCell_Downlink_bandwidth_MHz,SCell_Cell_Identity,SCell_freq_MHz,operator,Latitude,Longitude,Altitude,speed_kmh,COG,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,cloudCover,uvIndex,visibility,Traffic Jam Factor,area,target
Id_qt2qn56050,1624367008,pc1,-84.49875,-14.586875,-49.855625,16.45699996948242,35076.0,23.0,20.0,26368258.0,1800.0,-87.075625,-10.159375,-56.209375,17.69000005722046,36756.0,19.0,,,2600.0,1,52.49982833333333,13.313496666666667,42.1,0.0,295.6,0.0,0.0,21.56,21.56,13.86,0.62,1013.6,2.39,0.95,4.0,16.093,0.38979,Residential,51500000.0
Id_f1zf07cwb6,1624372465,pc3,-86.818125,-11.9825,-54.838125,16.67399995803833,42704.0,24.0,20.0,2568970.0,1800.0,-93.59875,-12.15875,-62.156875,14.86299991607666,48372.0,14.0,20.0,2568967.0,2600.0,2,52.491645,13.304608333333332,42.4,0.0,159.0,0.0132,0.01,22.98,22.98,14.52,0.59,1013.5,2.29,0.82,3.0,16.093,3.78322,Residential,50300000.0
Id_uoxdz7di5b,1624371871,pc3,-101.91625,-13.2575,-71.24125,9.392000036239624,36017.0,22.0,20.0,2824458.0,1800.0,,,,,,,,,,2,52.49908666666666,13.308001666666666,46.1,0.0,271.2,0.0081,0.01,22.57,22.57,14.71,0.61,1013.8,2.13,0.82,3.0,16.093,2.08425,Residential,16500000.0
Id_hzn8nj29gu,1624542066,pc1,-95.59875,-14.69625,-61.66,10.726000032424928,95955.0,17.0,20.0,26367489.0,1800.0,,,,,,,,,,1,52.51347166666667,13.33012,40.3,14.6308,169.0,0.1075,0.23,18.77,18.77,13.43,0.71,1017.9,1.97,0.99,3.0,16.093,8.80702,Avenue,46400000.0
Id_2kfrccrfiw,1624542798,pc1,-97.735,-14.8675,-63.170625,10.889000017642974,83062.0,19.0,20.0,26369024.0,1800.0,,,,,,,,,,1,52.50982833333333,13.355828333333331,27.6,13.7048,262.4,0.0998,0.22,18.79,18.79,13.46,0.71,1017.9,1.97,0.99,3.0,16.093,2.21843,Park,50200000.0
Id_joodlmsogd,1624547766,pc3,-71.47032828282828,-12.20138888888889,-39.34911616161616,21.92424246277472,53926.0,28.0,15.0,4051731.0,2000.0,,,,,,,,,,2,52.498938333333335,13.307578333333334,51.2,13.89,260.1,0.2166,0.32,18.69,18.69,13.55,0.72,1017.9,2.15,0.99,2.0,16.093,0.0,Residential,63500000.0
Id_q2hjwb02b9,1624350001,pc1,-88.088125,-12.294375,-56.35,3.729999984204769,41110.0,17.0,20.0,26358784.0,1800.0,-90.6525,-10.65625,-58.983125,9.358999991416932,47716.0,14.0,,,2600.0,1,52.50599666666667,13.342638333333332,42.4,0.0,256.2,0.0652,0.04,18.15,18.15,14.06,0.77,1011.9,4.07,0.97,3.0,16.093,2.08918,Park,26600000.0
Id_mez7zx4657,1624543571,pc1,-91.7475,-15.801875,-56.499375,4.146000001430512,74461.0,24.0,20.0,26367744.0,1800.0,-93.350625,-11.84125,-63.18125,3.037999999523163,93168.0,16.0,20.0,26367750.0,2600.0,1,52.500405,13.329195,27.0,0.0,263.2,0.1074,0.23,18.79,18.79,13.39,0.71,1017.9,1.97,0.99,3.0,16.093,7.10368,Residential,51400000.0
Id_9u01ga22w4,1624350300,pc3,-67.8496287128713,-12.53341584158416,-35.84839108910891,23.700990015917487,46734.0,27.0,20.0,2940680.0,1800.0,-72.45482673267327,-13.01361386138614,-38.54393564356435,11.34257428008731,41292.0,21.0,20.0,2940687.0,2600.0,2,52.504423333333335,13.336018333333334,37.9,0.0,280.0,0.0645,0.04,18.13,18.13,14.02,0.77,1011.9,4.08,0.97,3.0,16.093,3.18735,Residential,81400000.0
Id_gc8mrt2nno,1624552646,pc1,-70.974375,-13.9575,-35.7225,21.611999969482422,80559.0,27.0,,,1800.0,-76.369375,-9.70875,-46.84,20.437999982833865,93332.0,24.0,,,2600.0,1,52.49933333333333,13.312588333333334,34.4,0.0,207.7,0.309,0.44,18.67,18.67,13.8,0.73,1017.4,2.43,1.0,1.0,16.093,2.63371,Residential,189000000.0
Id_46byvox8kh,1624377954,pc3,-113.055,-15.505,-77.611875,-0.9959999992698432,42886.0,9.0,20.0,3282957.0,2600.0,,,,,,,,,,2,52.51061166666667,13.292205,40.5,42.9664,84.2,0.0271,0.01,23.87,23.87,14.78,0.57,1013.7,2.21,0.76,2.0,16.093,3.72535,Avenue,5620000.0
Id_wwef767gn2,1624357053,pc1,-96.88375,-17.8225,-59.073125,1.0979999996721743,93293.0,16.0,20.0,29127681.0,1800.0,-94.691875,-11.904375,-62.379375,7.825999966263771,82724.0,14.0,20.0,29127684.0,2600.0,1,52.51293833333333,13.327631666666669,36.1,41.8552,84.1,0.0454,0.02,19.31,19.31,13.7,0.7,1012.5,4.06,0.96,4.0,16.093,2.92181,Avenue,43700000.0
Id_ozu52k8oar,1624354594,pc1,-93.3075,-16.2525,-57.08875,9.279999952316285,52014.0,24.0,20.0,26369024.0,1800.0,,,,,,,,,,1,52.50812833333333,13.349076666666669,30.0,0.0,196.1,0.0477,0.02,19.28,19.28,13.71,0.7,1012.5,4.06,0.96,4.0,16.093,1.41849,Park,22700000.0
Id_frv9is1d55,1624371624,pc3,-67.9825,-12.7075,-38.5325,11.0989999628067,40454.0,23.0,20.0,2824458.0,1800.0,,,,,,,,,,2,52.499741666666665,13.314125,38.8,20.1868,280.4,0.0081,0.01,22.57,22.57,14.71,0.61,1013.8,2.13,0.82,3.0,16.093,8.14161,Residential,18000000.0
Id_mp3mfngr03,1624356851,pc1,-82.590625,-15.040625,-46.05625,10.0010000371933,44207.0,23.0,20.0,29127682.0,1800.0,-82.629375,-10.7975,-51.40125,13.538000011444092,89464.0,21.0,20.0,29127685.0,2600.0,1,52.511945,13.31266,39.4,27.9652,83.4,0.043,0.02,19.32,19.32,13.68,0.7,1012.5,4.07,0.96,4.0,16.093,3.14159,Avenue,51900000.0
Id_j40fxpnykk,1624546423,pc3,-102.686875,-12.665625,-69.17125,9.667999975681305,82008.0,16.0,20.0,3301896.0,1800.0,,,,,,,,,,2,52.5098,13.362815,35.6,17.2236,261.9,0.2212,0.32,18.68,18.68,13.65,0.73,1017.9,2.16,0.99,2.0,16.093,4.92806,Park,37400000.0
Id_a5uh13uebn,1624365922,pc1,-80.325625,-15.56875,-44.234375,18.605999927520752,46205.0,25.0,20.0,26607105.0,1800.0,-87.201875,-9.2675,-56.41,17.97599995613098,44688.0,16.0,20.0,26607108.0,2600.0,1,52.512838333333335,13.37698,29.9,33.52120000000001,185.5,0.0,0.0,21.46,21.46,13.9,0.62,1013.6,2.46,0.95,4.0,16.093,1.69815,Park,63700000.0
Id_34hdiec360,1624348905,pc1,-71.93875,-9.988125,-41.72875,15.26800000667572,95280.0,16.0,20.0,34006273.0,1800.0,-76.861875,-9.2075,-48.0575,23.868999977111816,97968.0,24.0,20.0,34006275.0,2600.0,1,52.51485666666667,13.355713333333334,39.2,0.0,83.4,0.0649,0.04,18.15,18.15,14.1,0.77,1011.9,4.07,0.97,3.0,16.093,1.32196,Park,133000000.0
Id_msy0skypdu,1624553082,pc1,-79.714375,-14.885625,-44.791875,15.033000011444091,85550.0,23.0,20.0,40782336.0,1800.0,-89.06875,-14.63125,-54.466875,17.513000087738035,96444.0,23.0,20.0,26358784.0,2600.0,1,52.488125,13.30063,46.1,0.0,240.3,0.2981,0.43,18.63,18.63,13.72,0.73,1017.4,2.44,1.0,1.0,16.093,3.59225,Residential,143000000.0
Id_gvx3c1w4hd,1624355467,pc1,-88.185,-15.129375,-52.874375,19.85200006484985,33029.0,26.0,20.0,28792065.0,1800.0,,,,,,,,,,1,52.49465333333333,13.313423333333333,47.8,0.0,290.0,0.0446,0.02,19.27,19.27,13.62,0.7,1012.5,4.1,0.96,4.0,16.093,1.8428,Residential,32100000.0
Id_a18u9fz6i5,1624553550,pc3,-64.9525,-12.086875,-38.441875,21.704000091552736,51256.0,25.0,15.0,2580501.0,2000.0,,,,,,,,,,2,52.511145,13.300013333333334,34.6,32.595200000000006,83.7,0.3101,0.44,18.65,18.65,13.83,0.74,1017.4,2.42,1.0,1.0,16.093,3.63414,Avenue,47800000.0
Id_mcqe2s0j3f,1624371740,pc3,-78.61,-12.8375,-46.328125,8.92300000667572,42031.0,19.0,20.0,2824458.0,1800.0,,,,,,,,,,2,52.49993,13.313443333333334,37.8,0.0,298.6,0.0081,0.01,22.57,22.57,14.71,0.61,1013.8,2.13,0.82,3.0,16.093,6.64966,Residential,18900000.0
